Time(long)     ml  xy  press   RR   ir1
1544955011791  74  99  11448   0.8   382538
1544955012031  74  99  11444   0.8   353140
1544955012197  74  99  11446   0.84   357804
1544955012379  74  99  11446   0.84   365911
1544955012606  74  99  11447   0.84   379425
1544955012786  74  99  11446   0.84   350858
1544955013006  74  99  11447   0.83   352103
1544955013186  74  99  11449   0.83   358935
1544955013417  74  99  11450   0.83   372946
1544955013605  74  99  11448   0.83   355411
1544955013869  74  99  11447   0.83   344351
1544955013997  74  99  11448   0.84   350114
1544955014269  74  99  11450   0.84   364617
1544955014411  74  99  11449   0.84   373928
1544955014625  74  99  11447   0.84   338955
1544955014821  74  99  11446   0.85   345025
1544955015019  74  99  11448   0.85   364288
1544955015215  74  99  11447   0.85   379120
1544955015435  74  99  11445   0.85   340955
1544955015624  73  99  11447   0.82   347699
1544955015810  73  99  11447   0.82   365071
1544955016021  73  99  11445   0.82   374859
1544955016204  73  99  11448   0.82   338467
1544955016441  73  99  11449   0.79   344495
1544955016621  73  99  11450   0.79   357184
1544955016832  73  99  11447   0.79   370004
1544955017026  73  99  11448   0.79   336017
1544955017255  72  99  11449   0.82   343152
1544955017431  72  99  11448   0.82   355129
1544955017648  72  99  11450   0.82   356869
1544955017847  72  99  11449   0.82   341147
1544955018048  72  99  11448   0.75   349116
1544955018238  72  99  11447   0.75   362704
1544955018464  72  99  11448   0.75   351921
1544955018695  72  99  11449   0.75   352631
1544955018857  72  99  11449   0.75   360219
1544955019037  72  99  11448   0.75   372418
1544955019258  72  99  11450   0.75   358850
1544955019452  73  99  11448   0.76   366340
1544955019664  73  99  11446   0.76   373942
1544955019846  73  99  11450   0.76   385167
1544955020080  73  99  11448   0.76   370080
1544955020259  73  99  11447   0.73   376872
1544955020530  73  99  11449   0.73   386664
1544955020664  73  99  11452   0.73   390253
1544955020883  73  99  11450   0.73   378189
1544955021070  74  99  11452   0.75   384104
1544955021287  74  99  11450   0.75   394396
1544955021484  74  99  11450   0.75   395779
1544955021717  74  99  11447   0.75   382763
1544955021884  75  99  11447   0.8   387775
1544955022095  75  99  11448   0.8   397885
1544955022317  75  99  11447   0.8   407760
1544955022501  75  99  11446   0.8   386350
1544955022682  75  99  11448   0.85   391385
1544955022904  75  99  11446   0.85   401636
1544955023104  75  99  11448   0.85   407485
1544955023313  75  99  11446   0.85   392574
1544955023509  76  99  11447   0.78   397640
1544955023716  76  99  11447   0.78   407787
1544955023907  76  99  11448   0.78   397123
1544955024120  76  99  11447   0.72   395490
1544955024314  76  99  11446   0.72   400062
1544955024525  76  99  11448   0.72   392048
1544955024716  76  99  11447   0.72   377231
1544955024936  76  99  11448   0.65   381749
1544955025110  76  99  11450   0.65   394296
1544955025332  76  99  11450   0.65   362949
1544955025520  77  99  11448   0.7   368313
1544955025738  77  99  11449   0.7   381422
1544955025930  77  99  11448   0.7   386434
1544955026162  77  99  11448   0.7   371998
1544955026335  77  99  11448   0.71   380385
1544955026552  77  99  11447   0.71   392228
1544955026753  77  99  11449   0.71   386729
1544955026957  78  99  11450   0.74   391128
1544955027142  78  99  11447   0.74   398840
1544955027361  78  99  11446   0.74   410326
1544955027551  78  99  11448   0.74   404255
1544955027771  78  99  11448   0.74   412930
1544955027955  78  99  11448   0.74   421318
1544955028167  78  99  11448   0.74   431346
1544955028348  78  99  11447   0.74   423450
1544955028548  78  99  11446   1.54   432374
1544955028752  78  99  11448   1.54   440242
1544955028954  78  99  11449   1.54   449000
1544955029170  78  99  11452   1.54   441158
1544955029354  78  99  11451   0.85   447828
1544955029573  78  99  11448   0.85   453371
1544955029760  78  99  11446   0.85   461805
1544955029973  78  99  11449   0.85   468533
1544955030157  78  99  11449   0.85   457459
1544955030400  79  99  11446   0.88   462225
1544955030572  79  99  11447   0.88   469835
1544955030785  79  99  11449   0.88   476668
1544955030969  79  99  11452   0.88   462812
1544955031183  79  99  11449   0.83   467539
1544955031367  79  99  11448   0.83   473777
1544955031602  79  99  11448   0.83   480356
1544955031769  79  99  11448   0.83   461530
1544955031998  78  99  11447   0.85   465083
1544955032178  78  99  11446   0.85   468247
1544955032404  78  99  11450   0.85   474470
1544955032599  78  99  11450   0.85   466282
1544955032815  78  99  11447   0.85   455978
1544955032991  78  99  11447   0.89   456501
1544955033222  78  99  11448   0.89   462893
1544955033402  78  99  11448   0.89   469877
1544955033628  78  99  11449   0.89   444189
1544955033865  77  99  11449   0.89   444988
1544955034029  77  99  11450   0.89   449623
1544955034200  77  99  11448   0.89   457506
1544955034423  77  99  11450   0.89   441081
1544955034618  76  99  11447   0.89   434487
1544955034827  76  99  11447   0.89   435089
1544955035015  76  99  11449   0.89   443214
1544955035238  76  99  11449   0.89   451551
1544955035426  76  99  11448   0.89   421570
1544955035640  75  99  11451   0.9   422056
1544955035830  75  99  11448   0.9   428287
1544955036043  75  99  11449   0.9   436475
1544955036231  75  99  11445   0.9   409540
1544955036449  74  99  11448   0.87   406228
1544955036639  74  99  11449   0.87   409016
1544955036853  74  99  11448   0.87   418607
1544955037037  74  99  11449   0.87   398406
1544955037259  73  99  11446   0.83   390859
1544955037444  73  99  11447   0.83   392785
1544955037667  73  99  11446   0.83   402893
1544955037854  73  99  11446   0.83   391239
1544955038073  73  99  11446   0.83   378757
1544955038266  72  99  11448   0.82   379915
1544955038479  72  99  11447   0.82   389556
1544955038690  72  99  11446   0.82   370567
1544955038879  71  99  11448   0.78   363218
1544955039063  71  99  11446   0.78   367227
1544955039285  71  99  11446   0.78   377629
1544955039481  71  99  11447   0.78   357754
1544955039691  71  99  11447   0.79   352331
1544955039890  71  99  11446   0.79   358881
1544955040094  71  99  11445   0.79   371484
1544955040276  71  99  11449   0.79   352220
1544955040503  71  99  11446   0.8   349660
1544955040687  71  99  11447   0.8   356300
1544955040905  71  99  11447   0.8   367575
1544955041088  71  99  11447   0.8   350513
1544955041315  71  98  11446   0.79   348505
1544955041501  71  98  11446   0.79   358102
1544955041689  71  98  11448   0.79   357506
1544955041955  71  98  11446   0.79   342215
1544955042089  71  98  11446   0.65   349205
1544955042305  71  98  11446   0.65   364919
1544955042489  71  98  11448   0.65   338881
1544955042760  72  98  11447   0.72   347615
1544955042899  72  98  11446   0.72   357146
1544955043110  72  98  11447   0.72   362297
1544955043293  72  98  11448   0.72   337183
1544955043525  74  98  11447   0.7   346034
1544955043708  74  98  11450   0.7   365092
1544955043918  74  98  11447   0.7   334646
1544955044106  75  98  11446   0.72   338755
1544955044333  75  98  11448   0.72   348283
1544955044509  75  98  11444   0.72   364562
1544955044737  75  98  11448   0.72   328973
1544955044922  76  99  11444   0.74   336536
1544955045136  76  99  11446   0.74   350837
1544955045381  76  99  11450   0.74   365951
1544955045543  76  99  11446   0.74   329492
1544955045773  77  99  11446   0.79   337793
1544955045956  77  99  11447   0.79   352516
1544955046127  77  99  11445   0.79   367895
1544955046348  77  99  11444   0.79   333025
1544955046550  77  99  11446   0.81   340237
1544955046754  77  99  11443   0.81   353526
1544955046940  77  99  11446   0.81   367795
1544955047165  77  99  11445   0.81   335794
1544955047349  78  99  11446   0.84   341493
1544955047567  78  99  11444   0.84   351305
1544955047760  78  99  11448   0.84   366455
1544955047984  78  99  11447   0.84   357514
1544955048171  78  99  11448   0.84   340040
1544955048374  78  99  11445   0.88   347355
1544955048571  78  99  11445   0.88   363702
1544955048782  78  99  11448   0.88   377400
1544955048963  78  99  11447   0.88   339191
1544955049181  77  99  11448   0.87   345367
1544955049368  77  99  11446   0.87   359102
1544955049590  77  99  11447   0.87   373134
1544955049818  77  99  11447   0.87   335963
1544955049996  77  99  11447   0.82   342066
1544955050185  77  99  11446   0.82   353604
1544955050401  77  99  11446   0.82   367886
1544955050584  77  99  11446   0.82   353482
1544955050857  77  99  11444   0.82   340466
1544955050994  76  99  11447   0.91   347748
1544955051213  76  99  11445   0.91   360706
1544955051397  76  99  11445   0.91   357266
