Time(long)     ml  xy  press   RR   ir1
1544969893737  64  99  11436   0.96   367078
1544969893913  63  99  11436   0.91   367477
1544969894134  63  99  11438   0.91   371171
1544969894319  63  99  11434   0.91   375305
1544969894549  63  99  11436   0.91   375918
1544969894731  63  99  11435   0.91   367652
1544969894953  63  99  11434   0.93   369389
1544969895136  63  99  11436   0.93   373816
1544969895350  63  99  11436   0.93   378259
1544969895553  63  99  11434   0.93   369830
1544969895753  63  99  11438   0.95   370292
1544969895940  63  99  11434   0.95   372259
1544969896161  63  99  11434   0.95   376533
1544969896365  63  99  11435   0.95   381210
1544969896566  63  99  11434   0.95   368822
1544969896757  63  99  11435   0.93   369578
1544969896970  63  99  11436   0.93   372987
1544969897150  63  99  11436   0.93   376910
1544969897373  63  99  11437   0.93   381609
1544969897561  63  99  11438   0.93   368354
1544969897782  63  99  11435   0.98   369305
1544969897967  63  99  11435   0.98   373518
1544969898207  63  99  11436   0.98   377906
1544969898375  63  99  11436   0.98   382876
1544969898589  63  99  11436   0.98   369748
1544969898773  62  99  11434   0.99   370861
1544969898994  62  99  11434   0.99   375046
1544969899188  62  99  11435   0.99   379413
1544969899403  62  99  11436   0.99   377776
1544969899585  62  99  11434   0.99   369530
1544969899805  63  99  11435   0.95   370887
1544969899996  63  99  11437   0.95   375373
1544969900211  63  99  11436   0.95   380188
1544969900391  63  99  11433   0.95   372669
1544969900617  63  99  11438   0.95   367189
1544969900800  63  99  11436   0.98   368003
1544969901022  63  99  11436   0.98   372324
1544969901201  63  99  11434   0.98   377322
1544969901393  63  99  11434   0.98   367682
1544969901607  62  99  11436   0.99   364600
1544969901790  62  99  11435   0.99   365564
1544969902012  62  99  11434   0.99   369932
1544969902215  62  99  11433   0.99   374913
1544969902422  62  99  11435   0.99   360948
1544969902616  62  100  11434   0.95   361609
1544969902825  62  100  11435   0.95   364152
1544969903006  62  100  11435   0.95   368668
1544969903226  62  100  11436   0.95   374199
1544969903413  62  100  11436   0.95   357559
1544969903636  62  100  11436   0.97   357083
1544969903817  62  100  11439   0.97   360728
1544969904037  62  100  11436   0.97   365606
1544969904226  62  100  11436   0.97   371353
1544969904441  62  100  11436   0.97   354872
1544969904623  61  100  11437   0.99   354711
1544969904846  61  100  11435   0.99   358819
1544969905027  61  100  11433   0.99   363908
1544969905273  61  100  11436   0.99   365612
1544969905440  61  100  11436   0.99   351321
1544969905657  61  100  11436   0.94   352602
1544969905850  61  100  11436   0.94   357891
1544969906060  61  100  11434   0.94   363417
1544969906244  61  100  11436   0.94   360535
1544969906466  61  100  11437   0.94   351586
1544969906655  61  100  11438   0.98   352805
1544969906873  61  100  11436   0.98   358086
1544969907122  61  100  11434   0.98   363287
1544969907279  61  100  11435   0.98   348226
1544969907472  61  100  11434   0.91   348213
1544969907680  61  100  11436   0.91   351668
1544969907862  61  100  11434   0.91   357282
1544969908091  61  100  11435   0.91   357017
1544969908285  61  100  11434   0.91   346159
1544969908499  61  100  11437   0.9   348270
1544969908690  61  100  11434   0.9   354446
1544969908895  61  100  11435   0.9   360258
1544969909078  61  100  11436   0.9   345412
1544969909299  61  100  11434   0.85   346881
1544969909485  61  100  11435   0.85   352212
1544969909704  61  100  11436   0.85   357791
1544969909900  61  100  11436   0.85   343139
1544969910111  62  100  11436   0.79   345546
1544969910296  62  100  11435   0.79   351926
1544969910515  62  100  11433   0.79   357823
1544969910696  62  100  11437   0.79   344342
1544969910920  62  99  11436   0.79   347283
1544969911103  62  99  11434   0.79   354382
1544969911325  62  99  11434   0.79   359911
1544969911510  62  99  11438   0.79   348509
1544969911731  63  99  11436   0.8   351587
1544969911923  63  99  11437   0.8   358983
1544969912136  63  99  11436   0.8   365460
1544969912321  63  99  11437   0.8   355447
1544969912538  65  99  11438   0.79   359156
1544969912724  65  99  11435   0.79   365668
1544969912945  65  99  11436   0.79   362975
1544969913136  67  99  11436   0.74   361962
1544969913352  67  99  11437   0.74   365626
1544969913533  67  99  11438   0.74   372167
1544969913754  67  99  11436   0.74   362315
1544969913937  69  99  11435   0.74   366837
1544969914167  69  99  11436   0.74   371381
1544969914344  69  99  11437   0.74   377017
1544969914568  69  99  11438   0.74   367546
1544969914755  71  99  11437   0.73   370443
1544969914947  71  99  11439   0.73   376452
1544969915151  71  99  11436   0.73   373418
1544969915334  72  99  11438   0.72   374397
1544969915556  72  99  11440   0.72   377756
1544969915744  72  99  11436   0.72   383418
1544969915964  72  99  11439   0.72   376688
1544969916146  75  99  11440   0.71   380557
1544969916372  75  99  11436   0.71   385652
1544969916561  75  99  11440   0.71   385227
1544969916771  77  99  11438   0.7   384464
1544969916955  77  99  11438   0.7   387848
1544969917174  77  99  11437   0.7   394104
1544969917365  77  99  11437   0.7   386832
1544969917583  79  99  11438   0.7   392848
1544969917776  79  99  11436   0.7   396282
1544969917989  79  99  11437   0.7   391401
1544969918168  81  99  11436   0.67   396807
1544969918391  81  99  11438   0.67   397970
1544969918573  81  99  11437   0.67   399966
1544969918797  81  99  11438   0.67   398035
1544969918982  82  99  11435   0.64   399905
1544969919204  82  99  11436   0.64   404765
1544969919393  82  99  11438   0.64   394474
1544969919611  83  99  11438   0.69   399891
1544969919788  83  99  11436   0.69   402544
1544969920010  83  99  11436   0.69   397377
1544969920193  84  99  11436   0.69   397336
1544969920423  84  99  11438   0.69   399965
1544969920604  84  99  11438   0.69   406100
1544969920825  84  99  11437   0.69   394497
1544969921004  85  99  11436   0.71   398555
1544969921232  85  99  11437   0.71   402472
1544969921407  85  99  11438   0.71   406491
1544969921641  85  99  11438   0.71   398631
1544969921825  85  99  11438   0.75   400835
1544969922034  85  99  11438   0.75   405918
1544969922222  85  99  11437   0.75   410822
1544969922441  85  99  11437   0.75   402087
1544969922627  84  99  11437   0.81   406763
1544969922842  84  99  11438   0.81   410750
1544969923029  84  99  11436   0.81   415536
1544969923253  84  99  11437   0.81   407407
1544969923447  83  99  11438   0.83   411779
1544969923659  83  99  11437   0.83   416883
1544969923838  83  99  11438   0.83   420560
1544969924059  83  99  11438   0.83   412300
1544969924239  82  99  11439   0.87   417406
1544969924465  82  99  11440   0.87   420207
1544969924656  82  99  11437   0.87   425629
1544969924872  82  99  11439   0.87   429013
1544969925057  82  99  11439   0.87   420506
1544969925273  80  99  11441   0.91   423743
1544969925462  80  99  11436   0.91   427499
1544969925682  80  99  11438   0.91   431908
1544969925861  80  99  11439   0.91   422027
1544969926083  79  99  11439   0.88   427080
1544969926279  79  99  11438   0.88   429371
1544969926491  79  99  11439   0.88   433047
1544969926675  79  99  11440   0.88   435774
1544969926895  79  99  11439   0.88   427217
1544969927077  77  100  11440   0.89   429030
1544969927299  77  100  11440   0.89   431755
1544969927482  77  100  11438   0.89   434246
1544969927704  77  100  11438   0.89   425277
1544969927891  75  99  11439   0.91   428794
1544969928113  75  99  11438   0.91   429849
1544969928312  75  99  11439   0.91   431950
1544969928492  75  99  11438   0.91   424254
1544969928696  74  99  11440   0.82   426767
1544969928879  74  99  11441   0.82   428168
1544969929102  74  99  11439   0.82   430469
1544969929288  74  99  11439   0.82   426236
1544969929514  73  99  11438   0.83   423656
1544969929711  73  99  11440   0.83   424076
1544969929912  73  99  11439   0.83   426746
1544969930095  73  99  11440   0.83   429617
1544969930316  73  99  11442   0.83   419554
1544969930500  72  99  11437   0.87   419646
1544969930723  72  99  11438   0.87   422032
1544969930905  72  99  11439   0.87   424150
1544969931131  72  99  11438   0.87   414086
1544969931316  71  99  11437   0.88   415087
1544969931533  71  99  11436   0.88   415856
1544969931714  71  99  11438   0.88   418029
1544969931936  71  99  11436   0.88   409684
1544969932119  71  99  11438   0.84   408551
1544969932345  71  99  11437   0.84   409260
1544969932526  71  99  11439   0.84   411874
1544969932756  71  99  11437   0.84   414825
1544969932945  71  99  11439   0.84   402723
1544969933150  71  99  11437   0.88   403157
1544969933333  71  99  11436   0.88   406063
1544969933555  71  99  11436   0.88   409299
1544969933747  71  99  11436   0.88   410691
1544969933962  71  99  11437   0.88   399795
1544969934146  70  99  11437   0.98   400586
1544969934368  70  99  11437   0.98   403911
1544969934554  70  99  11436   0.98   407727
1544969934776  70  99  11436   0.98   408256
1544969934960  70  99  11437   0.98   398854
1544969935175  70  99  11436   1.0   399758
1544969935373  70  99  11438   1.0   403244
1544969935583  70  99  11436   1.0   407351
1544969935769  70  99  11437   1.0   409500
1544969935985  70  99  11438   1.0   398671
1544969936168  69  99  11436   1.0   399353
1544969936389  69  99  11439   1.0   402970
1544969936571  69  99  11439   1.0   407169
1544969936845  69  99  11439   1.0   411659
1544969936982  69  99  11436   1.0   398258
1544969937246  69  99  11436   1.03   398383
1544969937383  69  99  11436   1.03   402031
1544969937603  69  99  11434   1.03   406213
1544969937788  69  99  11438   1.03   411278
1544969938010  69  99  11439   1.03   397675
1544969938189  68  99  11439   1.04   397434
1544969938419  68  99  11435   1.04   400363
1544969938601  68  99  11439   1.04   404403
1544969938821  68  99  11436   1.04   409490
1544969939011  68  99  11438   1.04   395594
1544969939226  66  99  11436   1.02   395238
1544969939407  66  99  11438   1.02   397599
1544969939629  66  99  11438   1.02   401771
1544969939817  66  99  11437   1.02   406403
1544969940035  66  99  11437   1.02   393957
1544969940244  65  99  11436   1.03   392341
1544969940442  65  99  11438   1.03   393466
1544969940625  65  99  11434   1.03   397232
1544969940843  65  99  11439   1.03   401730
1544969941027  65  99  11438   1.03   386789
1544969941250  63  99  11438   0.96   385332
1544969941447  63  99  11437   0.96   388411
1544969941655  63  99  11439   0.96   392453
1544969941844  63  99  11437   0.96   396638
1544969942059  63  99  11438   0.96   381281
1544969942241  62  100  11438   0.96   381345
1544969942472  62  100  11437   0.96   385331
1544969942656  62  100  11438   0.96   389902
1544969942836  62  100  11438   0.96   389630
1544969943055  62  100  11439   0.96   378170
1544969943238  61  100  11438   0.96   378939
1544969943463  61  100  11437   0.96   382968
1544969943640  61  100  11439   0.96   387740
1544969943861  61  100  11439   0.96   376839
1544969944046  61  100  11439   0.94   373823
1544969944267  61  100  11439   0.94   375530
1544969944451  61  100  11438   0.94   379662
1544969944679  61  100  11437   0.94   384829
1544969944866  61  100  11437   0.94   370955
1544969945075  60  100  11437   0.95   370189
1544969945258  60  100  11438   0.95   373503
1544969945480  60  100  11438   0.95   377785
1544969945676  60  100  11438   0.95   381998
1544969945893  60  100  11439   0.95   368566
1544969946075  60  99  11438   0.94   369187
1544969946296  60  99  11441   0.94   373551
1544969946483  60  99  11439   0.94   378530
1544969946695  60  99  11438   0.94   377555
1544969946879  60  99  11438   0.94   368023
1544969947101  61  99  11437   0.97   369321
1544969947304  61  99  11437   0.97   373986
1544969947507  61  99  11440   0.97   379109
1544969947707  61  99  11436   0.97   372981
1544969947921  61  99  11441   0.97   368626
1544969948099  61  99  11439   0.97   370281
1544969948315  61  99  11439   0.97   374690
1544969948498  61  99  11439   0.97   380121
1544969948722  61  99  11436   0.97   368523
1544969948906  61  99  11438   0.93   368373
1544969949127  61  99  11440   0.93   371502
1544969949308  61  99  11441   0.93   376201
1544969949553  61  99  11438   0.93   381505
1544969949713  61  99  11438   0.93   367634
1544969949933  62  99  11439   0.95   367777
1544969950118  62  99  11438   0.95   371697
1544969950343  62  99  11437   0.95   376204
1544969950528  62  99  11437   0.95   376965
1544969950749  62  99  11437   0.95   366484
1544969950935  62  99  11438   0.95   367535
1544969951148  62  99  11438   0.95   372136
1544969951331  62  99  11437   0.95   376903
1544969951553  62  99  11440   0.95   369166
1544969951743  62  99  11437   0.95   364642
1544969951960  62  99  11439   0.97   366411
1544969952144  62  99  11440   0.97   370853
1544969952366  62  99  11439   0.97   376203
1544969952549  62  99  11439   0.97   363989
1544969952770  62  99  11440   0.93   363350
1544969952953  62  99  11435   0.93   366606
1544969953219  62  99  11438   0.93   371217
1544969953363  62  99  11436   0.93   374627
1544969953581  62  99  11438   0.93   362191
1544969953763  62  99  11437   0.92   363626
1544969953975  62  99  11439   0.92   368262
1544969954167  62  99  11441   0.92   373375
1544969954389  62  99  11438   0.92   366241
1544969954572  62  99  11437   0.92   363348
1544969954795  62  99  11439   0.94   365538
1544969954986  62  99  11438   0.94   370250
1544969955201  62  99  11439   0.94   375724
1544969955384  62  99  11437   0.94   364258
1544969955606  63  100  11438   0.92   364744
1544969955787  63  100  11436   0.92   368643
1544969955970  63  100  11439   0.92   373397
1544969956193  63  100  11441   0.92   373785
1544969956392  63  100  11437   0.92   364344
1544969956621  63  100  11439   0.92   365669
1544969956785  63  100  11438   0.92   370166
1544969957010  63  100  11438   0.92   375268
1544969957184  63  100  11442   0.92   365278
1544969957403  63  100  11439   0.92   364638
1544969957591  63  100  11437   0.92   367239
1544969957812  63  100  11436   0.92   371684
1544969958062  63  100  11439   0.92   375558
1544969958217  63  100  11438   0.92   364083
1544969958407  64  100  11440   0.89   365061
1544969958625  64  100  11439   0.89   369574
1544969958803  64  100  11439   0.89   374637
1544969959026  64  100  11438   0.89   362228
1544969959209  64  100  11438   0.86   362365
1544969959433  64  100  11439   0.86   366632
1544969959617  64  100  11437   0.86   371959
1544969959837  64  100  11436   0.86   361748
1544969960026  65  100  11439   0.85   361205
1544969960241  65  100  11437   0.85   364025
1544969960422  65  100  11438   0.85   368967
1544969960643  65  100  11437   0.85   361539
1544969960839  65  100  11438   0.82   360162
1544969961056  65  100  11440   0.82   362907
1544969961238  65  100  11440   0.82   368482
1544969961460  65  100  11438   0.82   367734
1544969961641  65  100  11438   0.82   358594
1544969961859  66  100  11439   0.85   360949
1544969962044  66  100  11438   0.85   366827
1544969962263  66  100  11439   0.85   372672
1544969962456  66  100  11438   0.85   359192
1544969962680  67  100  11438   0.87   360523
1544969962862  67  100  11437   0.87   365695
1544969963079  67  100  11438   0.87   371497
1544969963264  67  100  11438   0.87   370160
1544969963479  67  100  11439   0.87   363228
1544969963667  67  99  11438   0.92   365156
1544969963886  67  99  11438   0.92   370894
1544969964079  67  99  11438   0.92   376939
1544969964293  67  99  11440   0.92   364865
1544969964482  68  99  11437   0.94   365135
1544969964695  68  99  11437   0.94   368366
1544969964878  68  99  11438   0.94   373975
1544969965099  68  99  11436   0.94   380383
1544969965281  68  99  11438   0.94   365970
1544969965532  68  99  11438   0.97   365970
1544969965692  68  99  11439   0.97   369373
1544969965911  68  99  11439   0.97   374393
1544969966099  68  99  11439   0.97   380325
1544969966314  68  99  11436   0.97   365460
1544969966497  67  99  11438   0.98   365812
1544969966719  67  99  11437   0.98   370089
1544969966907  67  99  11439   0.98   375318
1544969967126  67  99  11438   0.98   380626
